text,intensity,affect,stems
growling,"0,75",anger,growl
profane,"0,75",anger,profan
vulgarity,"0,75",anger,vulgar
douchebags,"0,75",anger,douchebag
fuckedoff,"0,742",anger,fuckedoff
violence,"0,742",anger,violenc
molestation,"0,742",anger,molest
screaming,"0,742",anger,scream
erupt,"0,742",anger,erupt
horrible,"0,742",anger,horribl
threat,"0,742",anger,threat
bastards,"0,741",anger,bastard
revenge,"0,738",anger,reveng
catastrophe,"0,735",anger,catastroph
menacing,"0,735",anger,menac
damn,"0,735",anger,damn
demon,"0,735",anger,demon
crushing,"0,735",anger,crush
thrash,"0,734",anger,thrash
riotous,"0,734",anger,riotous
fedup,"0,734",anger,fedup
deplore,"0,734",anger,deplor
warfare,"0,734",anger,warfar
argue,"0,734",anger,argu
vehement,"0,734",anger,vehement
persecute,"0,734",anger,persecut
flog,"0,734",anger,flog
revolt,"0,734",anger,revolt
altercation,"0,729",anger,alterc
warlike,"0,728",anger,warlik
shitday,"0,727",anger,shitday
castrate,"0,727",anger,castrat
mutiny,"0,727",anger,mutini
sabotage,"0,727",anger,sabotag
malevolent,"0,721",anger,malevol
strike,"0,721",anger,strike
disaster,"0,721",anger,disast
disastrous,"0,72",anger,disastr
madden,"0,719",anger,madden
scream,"0,719",anger,scream
arseholes,"0,719",anger,arsehol
brutal,"0,719",anger,brutal
horseshit,"0,719",anger,horseshit
bastarding,"0,719",anger,bastard
tumult,"0,719",anger,tumult
disdain,"0,719",anger,disdain
devil,"0,719",anger,devil
slay,"0,719",anger,slay
aggravates,"0,719",anger,aggrav
treachery,"0,719",anger,treacheri
vermin,"0,719",anger,vermin
scorching,"0,719",anger,scorch
choke,"0,719",anger,choke
spiteful,"0,719",anger,spite
mutilation,"0,714",anger,mutil
mangle,"0,714",anger,mangl
criminal,"0,714",anger,crimin
anarchism,"0,714",anger,anarch
punch,"0,713",anger,punch
denunciation,"0,713",anger,denunci
holocaust,"0,712",anger,holocaust
virulence,"0,712",anger,virul
fatal,"0,712",anger,fatal
blasphemous,"0,712",anger,blasphem
hurting,"0,712",anger,hurt
dontlikeyou,"0,712",anger,dontlikeyou
dumbasses,"0,712",anger,dumbass
battled,"0,712",anger,battl
crucifixion,"0,712",anger,crucifixion
irritated,"0,706",anger,irrit
evil,"0,706",anger,evil
atrocious,"0,706",anger,atroci
deranged,"0,706",anger,derang
kidnap,"0,703",anger,kidnap
aggravated,"0,703",anger,aggrav
assassin,"0,703",anger,assassin
scolding,"0,703",anger,scold
dicks,"0,703",anger,dick
slayer,"0,703",anger,slayer
intimidation,"0,703",anger,intimid
persecution,"0,703",anger,persecut
aggression,"0,702",anger,aggress
armed,"0,7",anger,arm
poison,"0,697",anger,poison
venom,"0,697",anger,venom
snarling,"0,697",anger,snarl
battle,"0,697",anger,battl
disgruntled,"0,693",anger,disgruntl
assailant,"0,691",anger,assail
resentment,"0,691",anger,resent
insidious,"0,691",anger,insidi
lynch,"0,69",anger,lynch
contemptuous,"0,69",anger,contemptu
infanticide,"0,688",anger,infanticid
imprisonment,"0,688",anger,imprison
temper,"0,688",anger,temper
terrible,"0,688",anger,terribl
mad,"0,688",anger,mad
lunatic,"0,688",anger,lunat
domination,"0,688",anger,domin
peeved,"0,688",anger,peev
makesmemad,"0,688",anger,makesmemad
bully,"0,688",anger,bulli
curse,"0,688",anger,curs
disparage,"0,688",anger,disparag
volatility,"0,687",anger,volatil
eradication,"0,685",anger,erad
devastate,"0,682",anger,devast
tantrum,"0,682",anger,tantrum
scoundrel,"0,682",anger,scoundrel
eradicate,"0,682",anger,erad
aggressively,"0,68",anger,aggress
agitation,"0,68",anger,agit
dictatorship,"0,676",anger,dictatorship
irritates,"0,676",anger,irrit
profanity,"0,673",anger,profan
shot,"0,672",anger,shot
expletive,"0,672",anger,explet
nasty,"0,672",anger,nasti
crime,"0,672",anger,crime
poisonous,"0,672",anger,poison
corrupting,"0,672",anger,corrupt
dastardly,"0,672",anger,dastard
shoot,"0,672",anger,shoot
shove,"0,672",anger,shove
condemnation,"0,672",anger,condemn
aggravation,"0,672",anger,aggrav
wreak,"0,672",anger,wreak
egregious,"0,672",anger,egregi
contempt,"0,672",anger,contempt
crushed,"0,672",anger,crush
harmful,"0,672",anger,harm
cruelly,"0,672",anger,cruelli
maniac,"0,67",anger,maniac
combat,"0,667",anger,combat
aggressive,"0,667",anger,aggress
hit,"0,667",anger,hit
fight,"0,667",anger,fight
shout,"0,667",anger,shout
cutthroat,"0,667",anger,cutthroat
irritable,"0,667",anger,irrit
odious,"0,667",anger,odious
shooting,"0,667",anger,shoot
hateeveryone,"0,667",anger,hateeveryon
kick,"0,667",anger,kick
eruption,"0,667",anger,erupt
enemy,"0,667",anger,enemi
punished,"0,662",anger,punish
ambush,"0,661",anger,ambush
yell,"0,661",anger,yell
harass,"0,659",anger,harass
incense,"0,656",anger,incens
gore,"0,656",anger,gore
malignant,"0,656",anger,malign
grudge,"0,656",anger,grudg
antichrist,"0,656",anger,antichrist
aggressor,"0,656",anger,aggressor
expel,"0,656",anger,expel
destruction,"0,656",anger,destruct
cranky,"0,653",anger,cranki
growl,"0,652",anger,growl
slave,"0,652",anger,slave
spank,"0,652",anger,spank
denounce,"0,652",anger,denounc
reprisal,"0,652",anger,repris
insulting,"0,652",anger,insult
clashing,"0,652",anger,clash
insurrection,"0,652",anger,insurrect
offended,"0,652",anger,offend
animosity,"0,652",anger,animos
growls,"0,649",anger,growl
executioner,"0,644",anger,execution
twat,"0,644",anger,twat
doomsday,"0,643",anger,doomsday
arson,"0,641",anger,arson
grr,"0,641",anger,grr
daemon,"0,641",anger,daemon
spat,"0,641",anger,spat
obscenity,"0,641",anger,obscen
havoc,"0,641",anger,havoc
shackle,"0,641",anger,shackl
accused,"0,641",anger,accus
feud,"0,641",anger,feud
expulsion,"0,641",anger,expuls
indignant,"0,641",anger,indign
reprimand,"0,641",anger,reprimand
inexcusable,"0,641",anger,inexcus
bombard,"0,641",anger,bombard
somad,"0,637",anger,somad
spanking,"0,636",anger,spank
suicidal,"0,636",anger,suicid
anarchy,"0,636",anger,anarchi
combatant,"0,636",anger,combat
hanging,"0,636",anger,hang
poisoned,"0,636",anger,poison
frustrated,"0,636",anger,frustrat
wound,"0,636",anger,wound
glaring,"0,636",anger,glare
batter,"0,636",anger,batter
disgusting,"0,636",anger,disgust
kicking,"0,636",anger,kick
inflict,"0,633",anger,inflict
wrecked,"0,633",anger,wreck
grievous,"0,632",anger,grievous
prosecute,"0,63",anger,prosecut
agitated,"0,63",anger,agit
cheat,"0,63",anger,cheat
swastika,"0,627",anger,swastika
raid,"0,625",anger,raid
cursing,"0,625",anger,curs
harassing,"0,625",anger,harass
provocation,"0,625",anger,provoc
strife,"0,625",anger,strife
suffocation,"0,625",anger,suffoc
defamatory,"0,625",anger,defamatori
scourge,"0,625",anger,scourg
injure,"0,625",anger,injur
enslaved,"0,625",anger,enslav
indict,"0,625",anger,indict
betray,"0,625",anger,betray
thundering,"0,625",anger,thunder
arsehole,"0,624",anger,arsehol
